Item Code,Item Group,Default Unit of Measure,Description
18mm O/S White Fine Finish 4ft x 8 ft +AC0- Ch,Raw Material,Nos,
18MM Plain O/S White Fine Finish MDF+AC0-TH,Raw Material,Nos,
6MM Plain O/S White Fine Finish MDF+AC0-TH,Raw Material,Nos,
Decore MDF+AC0-New OAK 6mm,Raw Material,Nos,
FR MDF 4 x 8 MM Thailand 6MM,Raw Material,Nos,
FR MDF Board Commercial 4 x8 x12 MM TH,Raw Material,Nos,
FR MDF Board Commercial 4 x 8 X18MM TH,Raw Material,Nos,
FR MDF Board Commercial 4 x 8 x 18MM THf,Raw Material,Nos,
FR MDF Board Commercial 4 x 8x 6MM TH,Raw Material,Nos,
Gp Lam 1301 ASF 4 x 8 x  0.8MM,Raw Material,Nos,
MDF 2.7MM ORD,Raw Material,Nos,
MDF Board Commercial 4 x 8 x 12MM TH,Raw Material,Nos,
MDF Board Commercial 4 x 8 x 15MM TH,Raw Material,Nos,
MDF Board Commercial 4 x8 x 18MM IN,Raw Material,Nos,
MDF Board Commercial 4 x 8 x 18MM Malysia,Raw Material,Nos,
MDF Board Commercial 4 x 8 x 18MM TH,Raw Material,Nos,
MDF Board Commercial 4 x 8 x 4mm IN,Raw Material,Nos,
MDF Board Commercial 4 x 8 x 4MM TH,Raw Material,Nos,
MDF Board Commercial 4 x 8 x 5.5MM TH,Raw Material,Nos,
MDF Board Commercial 4 x 8 x 6MM TH,Raw Material,Nos,
MDF Board Commercial 4 x 8 x 9 MM Malaysia,Raw Material,Nos,
MDF Board Commercial 4 x 8 x 9 MM TH,Raw Material,Nos,
MDF Board Commercial 6 x 12 x 12MM TH,Raw Material,Nos,
MDF Board Commercial 6 x 12 x 18MM TH,Raw Material,Nos,
MDF Boarded Commercial 4 x 8 x 2.7MM IN,Raw Material,Nos,
MDF Boarded Commercial 4 x 8 x 2.7MM TH,Raw Material,Nos,
MDF Boarded Commercial 4 x 8 x 2.7MM THs,Raw Material,Nos,
MDF BOARD FIBRE 4 x 8 x 3 MM,Raw Material,Nos,
MDF MLM BS 4x8x12MM Black TH,Raw Material,Nos,
MDF MLM BS 4x8x18MM Grey 5002 JS,Raw Material,Nos,
MDF MLM B/S 4x8x18MM White TH,Raw Material,Nos,
MDF MLM BS 4x8x6MM White TH,Raw Material,Nos,
MDF MLM OS 4 x 8 6MM White TH,Raw Material,Nos,
MDF MLM OS 4 x 8 x 12MM HMR White JS,Raw Material,Nos,
MDF MLM O/S 4x8x18MM HMR White TH,Raw Material,Nos,
MDF MLM O/S 4x8x18MM White TH,Raw Material,Nos,
MDF MR Board Commercial 4x 8 x 12MM TH,Raw Material,Nos,
MDF MR Board Commercial4 x 8 x 18MM Malaysia,Raw Material,Nos,
MDF MR Board Commercial4 x 8 x 18MM TH,Raw Material,Nos,
MDF MR Board Commercial 4x 8 x 6MM TH,Raw Material,Nos,
MDF MR Board Commercial 4x 8 x 9MM TH,Raw Material,Nos,
MDF MR Board Commercial 6x 12 x 12MM TH,Raw Material,Nos,
MDF MR Board Commercial 6 x 12 x 18MM TH,Raw Material,Nos,
MDF MR Board Commercial 6x12x9MM TH,Raw Material,Nos,
MDFMR MLM O/S Black Fine Finish 4 x 8 12MM,Raw Material,Nos,
MDF MR O/S White Fine Finish 18MM TH,Raw Material,Nos,
MDF MR O/S White Texture 18MM TH,Raw Material,Nos,
MDF Plain E1 Grade 4 x 8 x 12MM,Raw Material,Nos,
