"ID","Role Name","Role (Roles Assigned)"
"EITS SuperAdmin","EITS Admin","Accounts Manager"
"","","Dashboard Manager"
"","","Delivery Manager"
"","","EITS_Project_Manager"
"","","Fleet Manager"
"","","HR Manager"
"","","Item Manager"
"","","Maintenance Manager"
"","","Manufacturing Manager"
"","","Newsletter Manager"
"","","Projects Manager"
"","","Purchase Manager"
"","","Purchase Master Manager"
"","","Quality Manager"
"","","Report Manager"
"","","Sales Manager"
"","","Sales Master Manager"
"","","Script Manager"
"","","Stock Manager"
"","","System Manager"
"","","Website Manager"
"","","Workspace Manager"
"EITS Site Inspector","EITS Site Inspector","EITS_Site_Inspector"
"","","System Manager"
"EITS Supervisor","EITS Supervisor","EITS_Project_Manager"
"","","Sales User"
"","","System Manager"
"","","Accounts User"
"EITS Accounts","EITS Accounts","Accounts User"
"","","Accounts Manager"
"","","System Manager"
"EITS Sales","EITS Sales","EITS_Sale_Representative"
"","","Sales User"
"","","Accounts User"
"","","Accounts Manager"
"","","System Manager"
